"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4905","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","9694","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-21","failed","2026-07-21","","login","",""
"","6144","capture network logs and attach artifacts","Congruent","2026-07-21","passed","2026-07-21","","network-logs.spec.ts","",""
"","2589","has title - Test Reporters","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","1209","has title - Home Page","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","6136","has title - Trace Viewer","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","5024","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","1143","has title","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","4657","Login Field Accepts Only Email Format as Username","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","10692","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","1122","has title - Test Configuration","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","4012","has title - Test Options","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
