"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8945","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","1904","has title - Home Page","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","10175","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","12459","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","7615","has title - Trace Viewer","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","5936","capture network logs and attach artifacts","Congruent","2026-07-21","passed","2026-07-21","","network-logs.spec.ts","",""
"","1633","has title","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","4206","has title - Test Reporters","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","2406","has title - Test Configuration","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","6538","Login Field Accepts Only Email Format as Username","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","10647","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","4898","has title - Test Options","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
