"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4918","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","9660","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-21","failed","2026-07-21","","login","",""
"","1131","has title - Test Configuration","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","4850","Login Field Accepts Only Email Format as Username","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","5755","capture network logs and attach artifacts","Congruent","2026-07-21","passed","2026-07-21","","network-logs.spec.ts","",""
"","5987","has title - Trace Viewer","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","896","has title","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","180164","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-21","broken","2026-07-21","","login","",""
"","3975","has title - Test Options","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","2766","has title - Test Reporters","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","9696","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","1075","has title - Home Page","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
