"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4856","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","2583","has title - Test Reporters","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","3966","has title - Test Options","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","867","has title","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","4922","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","1077","has title - Home Page","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","1351","has title - Test Configuration","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","9092","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","6116","has title - Trace Viewer","Congruent","2026-07-17","passed","2026-07-17","","example.spec.ts","",""
"","5914","capture network logs and attach artifacts","Congruent","2026-07-17","passed","2026-07-17","","network-logs.spec.ts","",""
"","4697","Login Field Accepts Only Email Format as Username","Congruent","2026-07-17","passed","2026-07-17","","login","",""
"","5842","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-17","passed","2026-07-17","","login","",""
