"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6182","has title - Trace Viewer","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","1228","has title - Home Page","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","1358","has title - Test Configuration","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","3903","has title - Test Options","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","4969","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-20","passed","2026-07-20","","login","",""
"","6005","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-20","passed","2026-07-20","","login","",""
"","2608","has title - Test Reporters","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","5894","capture network logs and attach artifacts","Congruent","2026-07-20","passed","2026-07-20","","network-logs.spec.ts","",""
"","4835","Login Field Accepts Only Email Format as Username","Congruent","2026-07-20","passed","2026-07-20","","login","",""
"","6495","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-20","passed","2026-07-20","","login","",""
"","1138","has title","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","8452","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-20","passed","2026-07-20","","login","",""
