"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","877","has title","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","4252","has title - Test Options","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","1685","has title - Test Configuration","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","4948","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-20","passed","2026-07-20","","login","",""
"","1083","has title - Home Page","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","7088","has title - Trace Viewer","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","4910","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-20","passed","2026-07-20","","login","",""
"","5845","capture network logs and attach artifacts","Congruent","2026-07-20","passed","2026-07-20","","network-logs.spec.ts","",""
"","4825","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-20","passed","2026-07-20","","login","",""
"","4857","Login Field Accepts Only Email Format as Username","Congruent","2026-07-20","passed","2026-07-20","","login","",""
"","2836","has title - Test Reporters","Congruent","2026-07-20","passed","2026-07-20","","example.spec.ts","",""
"","8388","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-20","passed","2026-07-20","","login","",""
