"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8799","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","6090","capture network logs and attach artifacts","Congruent","2026-07-21","passed","2026-07-21","","network-logs.spec.ts","",""
"","12993","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","2018","has title - Test Configuration","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","1634","has title - Home Page","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","7671","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","3703","has title - Test Reporters","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","5043","has title - Test Options","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","1315","has title","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","8444","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","8855","has title - Trace Viewer","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","7101","Login Field Accepts Only Email Format as Username","Congruent","2026-07-21","passed","2026-07-21","","login","",""
