"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4954","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","13238","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","5937","capture network logs and attach artifacts","Congruent","2026-07-21","passed","2026-07-21","","network-logs.spec.ts","",""
"","1331","has title","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","1680","has title - Home Page","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","7163","Login Field Accepts Only Email Format as Username","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","5005","has title - Test Options","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","3558","has title - Test Reporters","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","16670","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-21","failed","2026-07-21","","login","",""
"","180749","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-21","broken","2026-07-21","","login","",""
"","1977","has title - Test Configuration","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","7855","has title - Trace Viewer","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
