"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4888","has title - Test Reporters","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","5899","capture network logs and attach artifacts","Congruent","2026-07-21","passed","2026-07-21","","network-logs.spec.ts","",""
"","5698","has title - Test Options","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","2238","has title - Test Configuration","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","56371","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-21","failed","2026-07-21","","login","",""
"","14833","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","5144","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","18412","Login Field Accepts Only Email Format as Username","Congruent","2026-07-21","failed","2026-07-21","","login","",""
"","1661","has title","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","2793","has title - Home Page","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","17362","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-21","failed","2026-07-21","","login","",""
"","7970","has title - Trace Viewer","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
