"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5106","System Rejects Login Attempt with Unregistered Email","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","5862","capture network logs and attach artifacts","Congruent","2026-07-21","passed","2026-07-21","","network-logs.spec.ts","",""
"","3933","has title - Test Reporters","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","1823","has title - Home Page","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","1861","has title - Test Configuration","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","13075","System Provides Secure and Non-Revealing Error Messages on Login Failure","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","5062","has title - Test Options","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","8024","has title - Trace Viewer","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","1394","has title","Congruent","2026-07-21","passed","2026-07-21","","example.spec.ts","",""
"","6701","Login Field Accepts Only Email Format as Username","Congruent","2026-07-21","passed","2026-07-21","","login","",""
"","57050","System Rejects Login Attempt with Both Invalid Email and Password","Congruent","2026-07-21","failed","2026-07-21","","login","",""
"","15228","System Rejects Login Attempt with Incorrect Password","Congruent","2026-07-21","failed","2026-07-21","","login","",""
